,log,number_of_clusters,clustering_technique,discovery_algo,align_weighted_average_f1,runtime,distance_metric,token_weighted_average_f1,f1_score_threshold,max_distance,minimum_cluster_size,neighbourhood_size,meta,flag_condition,align_weighted_average_fitness,align_weighted_average_precision,token_weighted_average_precision,token_weighted_average_fitness,clusters,number_of_traces,number_of_variants,number_of_activities,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
0,bpi2018_ref,4,K-means,inductive miner,0.987613508713858,9.334,levenshtein,,0.95,2,300,10,,yes,1.0,0.9763849363463076,,,"{'cluster 30738': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2633': 0.973261100056644, 'cluster 99': 0.7497554294658579}",,,,,,,,
1,bpi2018_ref,4,K-means,inductive miner,0.987613508713858,8.217,BOA,,0.95,2,300,10,,yes,1.0,0.9763849363463076,,,"{'cluster 30738': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2633': 0.973261100056644, 'cluster 99': 0.7497554294658579}",,,,,,,,
2,bpi2018_ref,5,K-means,inductive miner,0.9876439339800496,13.37,levenshtein,,0.95,2,300,10,,yes,1.0,0.976434193365808,,,"{'cluster 30734': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2633': 0.973261100056644, 'cluster 25': 0.9417989417989417, 'cluster 83': 0.7343580861658368}",,,,,,,,
3,bpi2018_ref,5,K-means,inductive miner,0.9876439339800496,14.1,BOA,,0.95,2,300,10,,yes,1.0,0.976434193365808,,,"{'cluster 30734': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2633': 0.973261100056644, 'cluster 25': 0.9417989417989417, 'cluster 83': 0.7343580861658368}",,,,,,,,
4,KIM,5,K-means,inductive miner,0.7732123096330104,33.961999999999996,levenshtein,,0.95,2,300,10,,yes,1.0,0.6485204024976016,,,"{'cluster 8956': 0.917916193129743, 'cluster 7939': 0.7134502339344984, 'cluster 1270': 0.8031628129867018, 'cluster 854': 0.9333333333333333, 'cluster 5751': 0.599973332911481}",,,,,,,,
5,KIM,5,K-means,inductive miner,0.7431808755463188,47.14100000000001,BOA,,0.95,2,300,10,,yes,1.0,0.6029359181448338,,,"{'cluster 16201': 0.8131869881167472, 'cluster 3417': 0.5913253480720294, 'cluster 1017': 0.7140450195444129, 'cluster 327': 1.0, 'cluster 3808': 0.5673333491502369}",,,,,,,,
6,KIM,4,DBSCAN,inductive miner,0.8381839547792376,29.846999999999998,levenshtein,,0.95,2,300,10,,yes,1.0,0.7633439609666437,,,"{'cluster 3660': 1.0, 'cluster 6762': 1.0, 'cluster 3442': 1.0, 'cluster 10906': 0.632479053721045}",,,,,,,,
7,KIM,4,DBSCAN,inductive miner,0.8383140226466897,28.564,BOA,,0.95,2,300,10,,yes,1.0,0.7634830925950414,,,"{'cluster 3660': 1.0, 'cluster 6762': 1.0, 'cluster 3442': 1.0, 'cluster 10906': 0.632774467353613}",,,,,,,,
8,KIM,3,DBSCAN,inductive miner,0.7877022874278019,26.546,BOA,,0.95,2,300,10,,yes,1.0,0.68928367467224,,,"{'cluster 3660': 1.0, 'cluster 6762': 1.0, 'cluster 14348': 0.6334949581535163}",,,,,,,,
9,KIM,3,DBSCAN,inductive miner,0.7762919815615293,28.269000000000002,levenshtein,,0.95,2,300,10,,yes,1.0,0.6772363932100957,,,"{'cluster 3660': 1.0, 'cluster 6762': 1.0, 'cluster 14348': 0.6137965140283721}",,,,,,,,
10,road,3,DBSCAN,inductive miner,0.9543941980706554,735.495,levenshtein,,0.95,2,300,10,,yes,1.0,0.9271911784878138,,,"{'cluster 56482': 1.0, 'cluster 66756': 1.0, 'cluster 27132': 0.7472451556790668}",,,,,,,,
11,road,3,DBSCAN,inductive miner,0.7938569336057578,740.6510000000003,BOA,,0.95,2,300,10,,yes,1.0,0.658930441800446,,,"{'cluster 79998': 0.816986084492959, 'cluster 64965': 0.7707886652748335, 'cluster 5407': 0.728819803856208}",,,,,,,,
12,road,4,DBSCAN,inductive miner,0.976269891886774,764.7139999999997,levenshtein,,0.95,2,300,10,,yes,1.0,0.9591413080808164,,,"{'cluster 56482': 1.0, 'cluster 66756': 1.0, 'cluster 19688': 0.910211829528465, 'cluster 7444': 0.7581210563215705}",,,,,,,,
